Country Name,Year,Life Expectancy
Denmark,1977,74.6324390243903
Spain,1977,74.1319512195122
Estonia,1977,69.3248292682927
Finland,1977,72.350243902439
France,1977,73.3512195121951
United Kingdom,1977,73.2243902439024
Greece,1977,73.6708048780488
Croatia,1977,70.7443902439024
Hungary,1977,69.8480487804878
Ireland,1977,71.9973902439024
Iceland,1977,76.3736585365854
Israel,1977,72.9585365853659
Italy,1977,73.3646341463415
Lithuania,1977,70.809512195122
Luxembourg,1977,71.4586585365854
Latvia,1977,69.1046341463415
Moldova,1977,64.506
North Macedonia,1977,68.4434390243903
Montenegro,1977,71.3515365853658
Netherlands,1977,75.2214634146342
Norway,1977,75.3868292682927
Poland,1977,70.4024390243902
Portugal,1977,70.0121951219512
Romania,1977,69.7419512195122
Slovenia,1977,70.5560975609756
Sweden,1977,75.379756097561
Ukraine,1977,68.8185609756098
Albania,1978,69.309
Andorra,1978,
Austria,1978,72.0121951219512
Belgium,1978,72.6980487804878
Bulgaria,1978,71.1846341463415
Bosnia and Herzegovina,1978,70.132
Belarus,1978,70.0817317073171
Switzerland,1978,75.1873170731707
Czechia,1978,70.6439024390244
Germany,1978,72.2904146341464
Denmark,1978,74.3929268292683
Spain,1978,74.2956097560976
Estonia,1978,68.9206097560976
Finland,1978,72.8970731707317
France,1978,73.6024390243903
United Kingdom,1978,73.1756097560976
Greece,1978,74.358756097561
Croatia,1978,70.5387804878049
Hungary,1978,69.3939024390244
Ireland,1978,71.9963170731707
Iceland,1978,76.6492682926829
Israel,1978,73.2073170731707
Italy,1978,73.6931707317073
Lithuania,1978,70.6046341463415
Luxembourg,1978,71.4958048780488
Latvia,1978,68.9878048780488
Moldova,1978,64.523
North Macedonia,1978,69.3591463414634
Montenegro,1978,71.1449268292683
Netherlands,1978,75.1451219512195
Norway,1978,75.4185365853659
Poland,1978,70.3512195121951
Portugal,1978,70.3170731707317
Romania,1978,69.4804878048781
Slovenia,1978,70.7024390243902
Sweden,1978,75.4690243902439
Ukraine,1978,68.7599756097561
Albania,1979,69.584
Andorra,1979,
Austria,1979,72.3121951219512
Belgium,1979,73.1936585365854
Bulgaria,1979,71.3082926829268
Bosnia and Herzegovina,1979,70.34
Belarus,1979,69.9336341463415
Switzerland,1979,75.4660975609756
Czechia,1979,70.749512195122
Germany,1979,72.6301707317073
Denmark,1979,74.2192682926829
Spain,1979,74.8187804878049
Estonia,1979,68.7858536585366
Finland,1979,73.1553658536586
France,1979,73.8512195121951
United Kingdom,1979,73.2756097560976
Greece,1979,74.6210731707317
Croatia,1979,70.4273170731707
Hungary,1979,69.6153658536585
Ireland,1979,72.2680243902439
Iceland,1979,76.7731707317073
Israel,1979,73.5073170731707
Italy,1979,74.0026829268293
Lithuania,1979,70.4821951219512
Luxembourg,1979,72.3307804878049
Latvia,1979,68.4956097560976
Moldova,1979,64.807
North Macedonia,1979,69.6502195121951
Montenegro,1979,70.4828292682927
Netherlands,1979,75.6060975609756
Norway,1979,75.4139024390244
Poland,1979,70.7512195121951
Portugal,1979,71.1682926829268
Romania,1979,69.1531707317073
Slovenia,1979,70.8536585365854
Sweden,1979,75.5241463414634
Ukraine,1979,68.4696829268293
Albania,1980,70.478
Andorra,1980,
Austria,1980,72.4634146341463
Belgium,1980,73.2070731707317
Bulgaria,1980,71.1575609756098
Bosnia and Herzegovina,1980,70.543
Belarus,1980,69.9277073170732
Switzerland,1980,75.4592682926829
Czechia,1980,70.2780487804878
Germany,1980,72.8003170731707
Denmark,1980,74.1017073170732
Spain,1980,75.3492682926829
Estonia,1980,68.7956341463415
Finland,1980,73.44
France,1980,74.0512195121951
United Kingdom,1980,73.6756097560976
Greece,1980,74.5462682926829
Croatia,1980,70.1753658536586
Hungary,1980,69.0617073170732
Ireland,1980,72.5954146341464
Iceland,1980,76.8465853658537
Israel,1980,73.8756097560976
Italy,1980,73.9431707317073
Lithuania,1980,70.4821951219512
Luxembourg,1980,72.2068048780488
Latvia,1980,68.8085365853659
Moldova,1980,65.173
North Macedonia,1980,69.2471219512195
Montenegro,1980,71.6091219512195
Netherlands,1980,75.7431707317073
Norway,1980,75.6717073170732
Poland,1980,70.0975609756098
Portugal,1980,71.2146341463415
Romania,1980,69.0909756097561
Slovenia,1980,71.1048780487805
Sweden,1980,75.7409756097561
Ukraine,1980,68.3301707317073
Albania,1981,70.73
Andorra,1981,
Austria,1981,72.8121951219512
Belgium,1981,73.6217073170732
Bulgaria,1981,71.5719512195122
Bosnia and Herzegovina,1981,70.7
Belarus,1981,69.907512195122
Switzerland,1981,75.6931707317073
Czechia,1981,70.7221951219512
Germany,1981,73.0402195121951
Denmark,1981,74.2304878048781
Spain,1981,75.5285365853659
Estonia,1981,68.9780487804878
Finland,1981,73.7465853658537
France,1981,74.3
United Kingdom,1981,74.0268292682927
Greece,1981,74.9574390243902
Croatia,1981,70.3443902439025
Hungary,1981,69.1392682926829
Ireland,1981,72.9517804878049
Iceland,1981,76.5214634146341
Israel,1981,74.2609756097561
Italy,1981,74.3539024390244
Lithuania,1981,70.4607317073171
Luxembourg,1981,72.369756097561
Latvia,1981,68.7863414634146
Moldova,1981,65.613
North Macedonia,1981,69.8104878048781
Montenegro,1981,71.2397804878049
Netherlands,1981,75.9343902439025
Norway,1981,75.8690243902439
Poland,1981,71.0512195121951
Portugal,1981,71.6146341463415
Romania,1981,69.3682926829268
Slovenia,1981,71.2048780487805
Sweden,1981,76.0260975609756
Ukraine,1981,68.5981951219512
Albania,1982,71.023
Andorra,1982,
Austria,1982,72.9609756097561
Belgium,1982,73.8880487804878
Bulgaria,1982,71.1860975609756
Bosnia and Herzegovina,1982,70.875
Belarus,1982,70.0769024390244
Switzerland,1982,76.0339024390244
Czechia,1982,70.8078048780488
Germany,1982,73.3331463414634
Denmark,1982,74.5512195121951
Spain,1982,76.1341463414634
Estonia,1982,69.1268292682927
Finland,1982,74.2980487804878
France,1982,74.5
United Kingdom,1982,74.1780487804878
Greece,1982,75.2505365853659
Croatia,1982,70.4826829268293
Hungary,1982,69.3578048780488
Ireland,1982,73.2090487804878
Iceland,1982,77.0378048780488
Israel,1982,74.109756097561
Italy,1982,74.8146341463415
Lithuania,1982,70.8368292682927
Luxembourg,1982,72.6503414634146
Latvia,1982,69.3282926829268
Moldova,1982,66.179
North Macedonia,1982,69.9555609756098
Montenegro,1982,71.1811463414634
Netherlands,1982,75.9885365853659
Norway,1982,76.0109756097561
Poland,1982,71.1024390243903
Portugal,1982,72.4146341463415
Romania,1982,69.5317073170732
Slovenia,1982,71.0536585365854
Sweden,1982,76.3273170731707
Ukraine,1982,68.8756829268293
Albania,1983,71.296
Andorra,1983,
Austria,1983,73.0121951219512
Belgium,1983,73.8690243902439
Bulgaria,1983,71.3863414634146
Bosnia and Herzegovina,1983,71.081
Belarus,1983,69.7948536585366
Switzerland,1983,76.0312195121951
Czechia,1983,70.5914634146341
Germany,1983,73.6221463414634
Denmark,1983,74.4204878048781
Spain,1983,75.9090243902439
Estonia,1983,69.3756097560976
Finland,1983,74.2009756097561
France,1983,74.8
United Kingdom,1983,74.3780487804878
Greece,1983,75.5177317073171
Croatia,1983,70.2748780487805
Hungary,1983,68.9736585365854
Ireland,1983,73.2400975609756
Iceland,1983,76.8456097560976
Israel,1983,74.4585365853658
Italy,1983,74.640243902439
Lithuania,1983,70.7778048780488
Luxembourg,1983,72.7811219512195
Latvia,1983,69.1190243902439
Moldova,1983,65.684
North Macedonia,1983,69.4826829268293
Montenegro,1983,71.1316829268293
Netherlands,1983,76.1641463414634
Norway,1983,76.0668292682927
Poland,1983,71.0
Portugal,1983,72.2658536585366
Romania,1983,69.7263414634147
Slovenia,1983,70.5414634146342
Sweden,1983,76.5517073170732
Ukraine,1983,68.8463902439025
Albania,1984,71.502
Andorra,1984,
